,input,output
0,experts warn most states that are reopening still are nt doing enough testing as more u.s. states start to loosen stay at home orders experts warn that covid-19 could come back if there s not enough testing. according to the associated press a significant number of states that are reopening are still not meeting key testing benchmarks suggested by harvards global health institute. according to the institute and the world health organization who there should be enough testing done that the. ,0
1,a new study finds an increase in screen time does nt hurt kids social skills. getty images a new study found that despite the time spent on smartphones todays young people are as socially skilled as those of the previous generation. researchers compared teacher and parent evaluations of kids who entered kindergarten in 1998 years before facebook with children who did so in 2010. even children within both groups who experienced the heaviest exposure to screens showed similar developme. ,0
2,scientists around the world are working on a number of vaccines and treatments for covid-19. xinhua zhang yuwei via getty images scientists around the world are working on potential treatments and vaccines for the new coronavirus disease known as covid-19. several companies are working on antiviral drugs some of which are already in use against other illnesses to treat people who already have covid-19. other companies are working on vaccines that could be used as a preventive measure aga. ,0
3,coronaviruses cause respiratory illnesses so the lungs are usually affected first. early include fever cough and shortness of breath. these appear as soon as 2 days or as long as 14 days after exposure to the virus. but damage can also occur in other parts of the body especially during serious illness. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates pag. ,0
4,medical experts are studying if remdesivir can help people with covid-19. a leaked report on preliminary clinical trial results suggests that an experimental drug may work against covid-19. but experts caution against reading too much into this. the leaked report is anecdotal meaning it ca nt be used to show whether the drug is safe or effective. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavi. ,0
5,your social media posts may say more about your stress and anxiety levels than you think. getty images the mental health of teenagers is most impacted by the pandemic. increases in addiction and substance use related content on social media may indicate that the public is self medicating. tweets show more negative indicators and trends of mental health in states that are more harshly impacted by covid-19. all data and statistics are based on publicly available data at the time of publicati. ,0
6,experts say rural areas have older populations that are less healthy and have fewer medical facilities than urban and suburban regions. jeremy hogan echoes wire barcroft media via getty images the covid-19 pandemic has already swept through cities and urban centers. now the illness appears to be building like an infectious prairie fire in rural america as well as in larger towns in the midwest. that was nt the case just a month ago. many rural communities are nt seeing anything. they re sim. ,0
7,an early study indicated an antimalarial drug might be effective in treating covid-19 but experts say more research is needed and people should nt use off label medications on their own. kay nietfeld picture alliance via getty images all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most recent information on the covid-19 outbreak. when a study was publ. ,0
8,experts say that while some studies have shown ultraviolet radiation can kill microorganisms it is not sanctioned as a covid-19 therapy and such exposure can be dangerous for your health. getty images while some research has been done on ultraviolet radiation as a way to kill microorganisms it is not sanctioned as a covid-19 therapy. the research that s been done has shown this exposure can be dangerous for peoples health. new research shows that medical misinformation spread by public. ,0
9,"for people who were hospitalized with covid-19 a full recovery may take weeks to months. getty images there have been more than 116,000 recovered cases of covid-19 in the united states which is nearly double the number of deaths according to the johns hopkins coronavirus resource center. even for people who have officially recovered feeling 100 percent back to normal may be a long process. pulmonary rehabilitation is part of the recovery process since covid-19 is an illness that often. ",0
10,researchers say many home methods of checking to see if chicken is safe to eat are nt effective. in particular they note the color of the meat inside the chicken is nt a good indicator. experts say a food thermometer is the best safety method to check to see if chicken has been cooked to at least 165f 74c. half of home cooks may be misjudging if chicken is safe to eat. that s according to a from the norwegian institute of food fisheries and aquaculture research. in the study res. ,0
11,experts say biology as well as behavior may be among the reasons more men than women are developing covid-19 and dying from the disease. getty images several studies have shown that more men are dying from covid-19 than women. experts say part of the reason is women tend to have stronger immune systems than men. they add that men also tend to engage in more risky behavior such as ignoring physical distancing and they do nt take symptoms as seriously. all data and statistics are based on p. ,0
12,researchers are hoping antibody tests will help them understand who is immune to covid-19. getty images after an infection is cleared antibodies continue to exist in the blood. if a person were to be exposed to the same virus again those antibodies would rush to the site of viral exposure and use their memory to blunt the virus from causing harm. but if a person shows antibodies against the new coronavirus it does nt necessarily mean they re immune to reinfection. all data and statistic. ,0
