input,output,original
coronaviru creat govern lab bioweapon releas peopl china,0,Coronavirus was created in a government lab as a bioweapon and then released on the people of China
"lie coronaviru came bat pangolin concoct chines state tacit support u.s. deep state friend european union, russia australia, spread docil media countri",0,"The lie that coronavirus came from a bat or a pangolin is concocted by the Chinese state with the tacit support of the U.S. deep state and its friends in the European Union, Russia and Australia, and spread by the docile media in all of those countries"
health expert predict viru could kill 65 million peopl year,0,The health experts had predicted the virus could kill 65 million people in a year
"video clip supposedli show exponenti spread new coronaviru faster sars, ebola, swine flu",0,"A video clip supposedly showed that the exponential spread of a new coronavirus faster than SARS, Ebola, and Swine Flu"
"almost 200 peopl itali die coronaviru 24-hour period march 11 12, 2020",1,"Almost 200 people in Italy died from the coronavirus in a 24-hour period between March 11 and 12, 2020"
"doctor itali warn coronaviru wasn’t bad flu. said: ""the situat noth short dramatic. word come mind.""",1,"A doctor in Italy warned coronavirus wasn’t just a bad flu. And he said: ""The situation is now nothing short of dramatic. No other words come to mind."""
chines doctor confirm african peopl genet resist coronaviru,0,Chinese doctors confirmed African people are genetically resistant to Coronavirus
"center diseas control prevent (cdc) announc covid-19, diseas caus coronavirus, found toilet paper, peopl use wet cloth instead",0,"The Centers for Disease Control and Prevention (CDC) announced that COVID-19, a disease caused by the coronavirus, had been found in toilet paper, and that people should use wet cloths instead"
"viral social media post advis public ""keep throat moist"" order avoid contract respiratori infect",0,"A viral social media post advised the public to ""keep your throat moist"" in order to avoid contracting the respiratory infection"
japanes doctor advic take sip water everi 15 min prevent new coronaviru enter windpip lung,0,Japanese doctors advice that taking a few sips of water every 15 mins will prevent the new coronavirus from entering your windpipe and lungs
"hold breath without coughing, discomfort, stiffness, tightness, lung suffer fibrosi therefor covid-19 infect",0,"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection"
homemad hand sanit made tito' vodka use fight new coronaviru,0,A homemade hand sanitizer made with Tito's Vodka can be used to fight the new coronavirus
