,input,output
0,gt,1.0
1,alert judg order us marshal take paulin bauer custodi bauer scream happen she go jail,0.0
2,testimoni congress act capitol polic chief yogananda pittman say militia tie januari 6th attack state desir blow capitol kill mani member possibl direct nexu state union,1.0
3,would recommend strongli stay away fauci make person might get invit new year eve parti,1.0
4,bitcoin technic solut give 8 billion peopl properti right michael_saylor fox news,1.0
5,deltavari go move way countri cours august septemb that expect peak epidem would realli sometim around end septemb say scottgottliebmd unfortun worst yet come,0.0
6,6 billion help 42 million peopl liter go die dont reach complic wfpchief call world billionair step onetim basi,1.0
7,scienc isnt valid govern control peopl dont like pretti much democrat oper covid climat chang abort name,1.0
8,look construct worker jayden arbelaez 15 said told situat said mom go die way get window,1.0
9,stillnew presid narrat joe biden dc fixtur sinc nixon administr fall saigon,1.0
10,ibc equival bodi offici determin exampl conduct risk assess work plan perform grant may conduct asafeti level lower bsl3,1.0
11,4in10 member workforc includ screener remain unvaccin covid19 deadlin loom,1.0
12,danchenko work brook strobe talbott state dept offici bill clinton administr clinton obama admin alumni also work brook later fiona hill would go serv trump admin,1.0
13,gavin newsom disappear public view 10 day amp abruptli cancel plan attend cop26 climat summit scotland unexplain famili oblig newsom last seen public oct 27 receiv covid19 booster shot,1.0
14,dont make white kid feel bad white condoleezzaric rip critic race theori,1.0
15,joan baez garth brook dick van dyke debbi allen meteori think left somebodi biden say read teleprompt rate apolog uh uh uh um uh excus midori left,1.0
16,taliban fighter attack journalist companionaft name publicationsh apolog profuselybut beat usw brought bottl cold water monster energi drink need read,0.0
17,2005 nih fauci wrote studi chloriquin effect corona sarswhi keep quiet 2005 us nih studi found chloroquin effect treat coronaviru primat ignor,1.0
18,388 london real covid1984 agenda21 nwo covid19 thegreatreset,1.0
19,43 covid death uk vaccin often 1 vaccin also doubl vaccin elderli risk death high even 95 protect lead mani death mean winter booster vaccin probabl necessari,1.0
20,72 black peopl citi age 18 44 unvaccin say newyorkvonni cancel carmin protest go stop nypd round black folk chivona newsom cofound blm greater ny chapter,1.0
21,82766 mail ballot sent voter wisconsin novemb 2020 presidenti elect went miss undeliver number 4 time greater joe biden 20682 vote certifi margin victori state voterfraud bananarepubl,2.0
22,9new report peopl die stroke heart attack next 35 year due vaccin oop sorri due pandem,1.0
23,35yearold man accus open fire ambul crew around 345 pm sunday tucson polic chief chri magnu told news outlet,2.0
24,decis theyll regret australia regul ban ivermectin use covid19 treatment,1.0
25,clear penalti even check everyth us thoma tuchel reaction side 11 draw brighton plonprim chebha,2.0
26,gallon milk 199 279 buy 12 gallon week time four week that lot money evanmc goe groceri shop stotler show us badli inflat hit middl class,1.0
27,plan c draft senat democrat slip parol provis filibusterproof 35 trillion dollar budget reconcili packag would effect give amnesti seven million illeg alien accord new analysi,2.0
28,trilog aj wont happen wont lose fight tyson_furi doesnt see anthonyjoshua longterm threat check garethadaviesdt amp sschofieldob full chat gypsi king,2.0
29,adolesc age 12 17 year follow comirnati vaccin monitor covid19 vaccin advers event respons evalu programm,1.0
30,abort high holi sacrament democrat parti hallow rever rite even hous speaker nanci pelosi profess roman cathol mother five dare speak,1.0
31,100 preliminari report guillainbarré detect 128 million dose johnson amp johnson vaccin administ dr houselevel stuff,1.0
32,accord pfizer studi trial data chanc death children pfizer vaccin 107 time higher death due covid rfk jr warn fda hell file lawsuit approv jab kid say covid risk lifesit,1.0
33,across studi see protect offer 2 dose significantli diminish go lost indic residu protect infect say scottgottliebmd omicron neutral studi,0.0
34,administr rural hospit texa say theyr frustrat amp concern presid joe biden mandat hospit staff get covid19 vaccin jasper say lose 25 unvax staff would probabl shut,1.0
35,airlin sa norwegian drop requir travel wear face mask flight within scandinavia octob 18,1.0
36,homophob assault antifa portland organ direct action pride month flyer featur scene arson amp shoot,1.0
37,evid point came lab respons fund lab includ randpaul grill dr anthoni fauci research wuhan,1.0
38,peopl work facebook campu unit state requir wear mask whether vaccin effect aug 3rd continu indefinit per fb pr,1.0
39,rise aaron sorkin great play one best histori npr harper lee spellbind kill mockingbird back broadway octob 5 jeff daniel return atticu finch celia keenanbolg repris toni awardwin perform scout,0.0
40,specul pure manufactur job govrondesanti said tuesday brush potenti run presid 2024,1.0
41,alright go amend titleeh im gonna read ill sign,1.0
42,also 25957 event classifi nervou system disord femal age 30 51 nervou system disord sound familiar,1.0
43,although cbs4 obtain copi video station choos broadcast author report woman believ experienc medic issu,1.0
44,america back say pre bidenand fourth juli tradit nation capit,1.0
45,america dead asleep revtonysuarez oth2021,1.0
46,amid global health crisi peopl defi publichealth guidanc deserv protect class juliettekayyem allow vaccin peopl domest flight,1.0
47,event cancel better life cancel director gener drtedro recommend cancel holiday plan omicron spread,2.0
48,undisclos quantiti fri,1.0
49,abracadabra piffpuffpooph covid left room,1.0
50,question whether posit uh um cant expert say know viru fact uh um go excus know drug approv temporarili approv,1.0
51,uh ive said apolog oh didnt jake sullivan state depart inaud im leav lot peopl apolog im go get troubl anyway well get back um um know presid biden,1.0
52,anoth let go brandon chant break time oklahoma state footbal game mainstream media probabl,1.0
53,anyon would better gavin newsom california gop chairwoman jessica millan patterson comment newsom recal effort,1.0
54,rule differ presid fox news peter dooci cite presid biden coughvoic ask wh press sec jen psaki didnt stay home work today,0.0
55,around 24 cargo ship oil tanker stuck wait dock coast long island new york due surg demand consum good shortstaf port,1.0
56,matter social respons name shame boycott compani demand divis discriminatori covid pass checkpoint societi make us safer novaccinepassport,1.0
57,physician public health expert deepli troubl seem let polit get way protect youth father quit frankli think unconscion fmr us surgeon gener jeromeadamsmd state ban mask mandat,0.0
58,mani 400000 migrant head us border nbc news report unpreced numbernearli doubl stun number weve seen last two month 21year high,1.0
59,end may 2021 13 million peopl face deport immigr court that number peopl live dalla tracreport geograph ackoch told sandraesanchez borderreportcom,2.0
60,least 160000 illeg immigr releas us often littl supervis biden administr sinc march,2.0
61,ballot box novemb year 2022 celebr independ rule governor whitmer former detroit polic chief jame craig said,1.0
62,end day sacr oblig health care employe physician keep patient safe say houston methodist presid ceo dr marc boom mandat vaccin im proud 25500 employe whove vaccin,2.0
63,point need accept there lot breakthrough infect happen particularli peopl signific portion time origin vaccin scottgottliebmd rise us case argument peopl go get booster,0.0
64,stage pandem tougher univers restrict solut continu viral spread fli vaccin peopl longer carri burden unvaccin peopl juliettekayyem write,1.0
65,byu senior center richard harward announc instagram take step back basketbal season due heart condit kept everi basketbal game far season byumbb ncaa,1.0
66,back 1970 prevail hysteria threat new ice agepromot environmentalist promot global warm hysteria today thoma sowel,1.0
67,poor good bloomberg opinion 2021,2.0
68,bewar fals prophet come sheep cloth inwardli raven wolv know fruit matthew 71516 develop post vax pericard chang tune fruit spoil,1.0
69,biden announc zero toler polici would give leeway gun dealer fail compli feder law licens sell would revok first offens,2.0
70,biden pledg vaccin campaign go door door fall short juli fourth goal,1.0
71,biden epic collaps much issu afghanistan thehillopinion,0.0
72,bill gate warn smallpox terror attack sourc,1.0
73,bill de blasio believ cop hater nyc mayor candid curtissliwa blast bill de blasio ignor crime wave flood big appl,2.0
74,billi graham son franklin graham post facebook may encourag everyon get vaccin think jesu christ would advoc peopl use vaccin medicin treat suffer save live graham wrote may,1.0
75,black hispan high risk ethnic young fit white guy show hell deni servic correct,1.0
76,border agent whip migrant complet made news cycl last week spread sever corpor media outlet journalist work didnt happen that recent exampl,1.0
77,build back better start one word union kamalaharri lizshul secretarytreasur aflcio bidenharris2020 joebiden aflcio,1.0
78,build back better togeth greener build back fairer build back equal genderneutr perhap feminin way pm bori johnson begin firesid chat fellow g7 leader,1.0
79,think shift pandem endem think there opportun us,1.0
80,cmon guy indec make fun presid,1.0
81,covid god gift left joe biden surrog jane fonda peopl sick,1.0
82,covid19 protest rotterdam netherland turn violent demonstr clash polic,1.0
83,covid19 vaccin experi joyvbehar,1.0
84,pleas pennsylvania mean send mehmet oz senat read wfkar opinion piec dr oz senat run,1.0
85,canadian militari leader saw pandem uniqu opportun test propaganda techniqu unsuspect public newli releas canadian forc report conclud wonder similar audit pentagon would turn,1.0
86,cancel carmen chant blm march confront uw restaur carmin accus lie happen viral video,1.0
87,chicago broken place lori lightfoot help break one polic veteran told westjourn chicago crime problem citi mayor continu fail acknowledg instead opt push polic account,1.0
88,children opportun benefit vaccin potenti harm must allow children vaccin dr paul alexand covid vaccin,1.0
89,choos death sarah huckabe sander campaign slogan,0.0
90,classi joe biden rip gop fallon covid hit trump arm republican parti seem republican parti even show kennedi center wouldnt go award liber honore would refus attend,2.0
91,clean energi spend creat nearli million job 2013 2017 accord 2020 paper also made money taxpay despit loss compani like fisker loan guarante program ultim made 2 billion nytim,0.0
92,climat chang ill what diagnosi climat chang wow what prescript read nyt 10x day wp 5x day watch cnn 4 hour daili,1.0
93,coincid vaccin rollout 1215 us,1.0
94,colorado state univers threaten arrest unvaccin student go school unvaccin arrest offenc accord vaccin fascist next,1.0
95,compar state forc 200 volunt paramilitari forc hundr thousand latin american fled inaccur minim damag paramilitari group done via elamerican_ danielechangc,1.0
96,complet reckless louisiana high school vaccin teenag student without parent consent american communist want kid communistdemocratparti,1.0
97,coyot abandonan 126 migrant dentro de contenedor luego de una denuncia sobr un tráiler abandonado agent de pnc llegan al kilómetro 114 ruta que conduc de cocal nueva concepción escuintla dond localizan el cabez c193bvb enganchado al furgón tc007cbh,1.0
98,dc resid speak crime surg democratrun citi worrisom abl predict whether your love one famili member go return homeunlik anyth ive seen,2.0
99,dda jonathan hatami file harass lawsuit la counti district attorney georg gascon good gascon anoth soro fund da need remov offic watch video clip,2.0
100,desanti poll number drop last month seem almost invulner posit month ago becom spongi respons desanti handl delta wave,1.0
101,deal american casualti absolut jackass say dealwithit guy omg wont leftist cling worthless presid polici disgust,2.0
102,death teenag boy unit kingdom gone 63 sinc covid19 vaccin recommend teenag increas stun 700 one week accord report uk offic nation statist,1.0
103,delta chang play fieldyou wear mask indoor situationbecaus see breakthrough infect get infect amp symptom amp inadvert pass someon els dr fauci,0.0
104,delta done scottgottliebmd say part countri covid case could pick,0.0
105,democraci remain best tool unleash full human potenti presid biden say address un leader must come togeth affirm inher human unit us much greater outward divis disagr,1.0
106,democrat legislatur overwhelmingli support end longtim profici requir republican critic lower academ standard orpol orleg,2.0
107,dem plan scuttl space forc cours theyr defens spend gener anyth trump specif,1.0
108,denmark log record 13558 infect last 24 hour saw number covid19 patient hospit drop 27 554 daili hospit admiss death still level seen decemb last year,0.0
109,buy unvaccin shop sign germani like naziera treatment jew south africa mandela southern state usa civil right,1.0
110,believ biden abl bring countri togeth 17 ye 57 dude liter ran unifi countri wow,1.0
