,tweet_id,input,output
0,1300479046636179456,can you imagine trying to explain to your grandchildren why you voted for a president that A) said that we should inject ourselves with bleach to kill a virus when all you had to do was wear a mask B) mocked disabled people C) put children in cages.... shall i go on?,1
1,1298960028897079297,"So you come in here WITHOUT A MASK , YOUR CHILDREN ARE COUGHING EVERYWHERE, NONE OF THEM ARE WEARING SHOES !! And you have the audacity to get mad that we asked for you to wear a mask ????? We should be mad that you’re putting everyone in danger !",1
2,1298843581596262401,"SOMETHING SEEMINGLY ILLOGICAL: When I watch families with young children shopping without face masks while the parents are if full gear with mask and sometimes a shield! Ok.... aren't children human? Therefore, if adults should wear protection, shouldn't the children?",1
3,1298802468730667008,"Question of the Day: ""What type of masks should children wear?""  🤔
Answer: Children who are in general good health can wear a non-medical or fabric mask #facemask #kidsmask #questionoftheday #cdcguideline",1
4,1298551702061228033,"Just to be clear...WHO and UNICEF advise that children aged 12+ should wear a mask under the same conditions as adults, in particular when they cannot guarantee at least a 1-metre distance from others and there is widespread transmission in the area. Can we move on, please?!",1
5,1298371227002830857,"I don’t get it. @WHO said ‘children aged 12 and over should wear a mask ... when they cannot guarantee at least a 1-metre distance from others and there is widespread transmission in the area’ - erm, why not classrooms then? 30+ kids aren’t going to be 1 metre apart are they 🤷🏼‍♀️",1
6,1297962523413614593,Should children be made to wear a mask in #School ? 👇 Vote below 👇,1
7,1297847142351085568,". @WHO Should teachers or other adults working with children wear a mask? In areas where there is widespread transmission, all adults under the age of 60 and who are in general good health should wear fabric masks when they cannot guarantee at least a 1-metre distance from others",1
8,1297422320580153345,"Should our senior school children 11 years + wear a mask to school from September when in confined spaces? 
@chriswhitty @GavinWilliamson @WHO 
#coronavirusuk #Covid19UK #education #schoolsreopeninguk",1
9,1295623638457159680,"Best mask compliance argument:

“Whilst there is no conclusive evidence, it does at least slow down the spread of a virus and will therefore save some lives. Just wear one”

If that is the rationale. Flu disproportionately kills children, should we wear a mask forever?",1
10,1295534320568774658,"Why should it even be a question, “Should children or anyone wear a mask?”  Just do it!  #WearAMask it won’t kill you, it might even save you!",1
11,1293347601501184001,"“WhAt iF My ChILd wOn’T WeAr a MaSk?”

Children should be wearing a mask when they play outdoor with neighborhood kids. They’ll get used to it. (This means your child is not wearing a mask out or not playing with neighbors. Either way is bad.)",1
12,1293331007333175298,Why would anyone want to send children back to school sit in classes with mask on all day? If you have to wear mask all day then something tell me they should not go. The concept of school is wrong. Doctors don't even wear a mask all day. The president don't wear one at all.,1
13,1292816631652069377,"Why are parents allowing their children not to wear a mask to school? 
 It should be mandatory. 
No mask 
No school 
Caught without a mask, you go home PERIOD!

Why subject my children to your ignorance? 
Keep your children at home if you don't want them to wear a mask",1
14,1292176685685772288,"Since children aren't required to wear masks, should we go ahead and assume anyone not wearing a face mask in a public place is child, and should thus be treated as such? Ask them where their parents are and what not?",1
15,1292119263059283968,For those of you saying that schools should open; #payattention to adults who to this moment don’t even know or choose not to wear a mask correctly!! Are “WE” really putting the spread of the pandemic of COVID-19 on the shoulders of children because of a President who is inept?,1
16,1291810681537339392,"Hi, question... if I’m in the middle of the store and I see a woman and her children walking around and she doesn’t have her mask on properly and her children done even HAVE them 😤 can/should I say something? (In my state you legally have to wear a mask when in a building)",1
17,1291765993539276800,"does your toddler wear a mask? mine will be 2 next month and it’s not mandated for children under 5, and the only place she’s really going besides daycare is the grocery store...but i’m wondering if i should introduce the idea to her",1
18,1291681852579872768,"Here's a thought while adults are being stupid about masks, kids know that everyone should be wearing masks. What about the child forced to be in school all days with kids who are not wearing masks. Do you think that worried child, or children, is learning anything?! #WearAMask",1
19,1291555312202391554,"Is it just me....or are conservatives taking about #SaveTheChildren just to go against liberals and Democrats? It doesn’t feel genuine. Every post goes a long the lines of “We should be focused on the children, but yeah, wear a mask 🙄” Like?? That’s not genuine concern??",1
20,1291406777045733378,AITA for not believing that we should be teaching children to go around and publically shame those who don't wear a mask out in public?,1
21,1290694486364786689,"GoC update on #COVID19 
Reporter: children in the classroom regardless of age, should they wear masks? 
Dr Tam - in elementary schools ... adapt to the children's ability. When any child wants to wear a mask, let them. Don't stigmatize them for wearing a mask [when optional].",1
22,1290264687989252097,"How do we balance needs of children and needs of adults in returning to schools? Fauci “at minimum, teachers should wear a mask and something to protect their eyes, which are also susceptible areas for virus transmission...could be goggles or face shields” @ETFOeducators",1
23,1288957347545731079,"We can't go to any indoor area without a mask and physical distancing in Ontario, but I should be in a room with 20 six year olds who are not required to wear masks or distance themselves!? There are several incidences of outbreaks among children in Canada.  #FireLecce",1
24,1288634092918054913,"Dr. Fauci on the world news saying that teachers should wear a face mask , gloves and goggles. Can you imagine how scary this would be for preschoolers and Kindergarten children? School should be remotely until there is a vaccination that works for Covid19  #CongressmanCOVID",1
25,1288579177063604224,"maybe instead of putting children in cages we should be putting the people that refuse to wear a mask in them since ""the coronavirus is a hoax"" right?",1
26,1288283175878373377,"Left: “Wear a mask! Listen to the science!”
Also left: *takes down video on all media platforms of doctors discussing how children should go back to school because they aren’t the problem*                                     I️ thought we were listening to science???",1
27,1287746127660376065,"IDK at this point anyone who objects to wearing a mask should be treated like toddlers. Spoken to like the small tantruming children they are.

""Aww ish shomeone cwanky that they have to wear a mask?""",1
28,1286911611622559744,"Secondly, it's not compulsory for my children to wear a mask, why should they be more at risk than me?",1
29,1286753722056544257,"Children should not have to wear masks. Can you imagine a little kid vomiting in their mask and swallowing it back and choking on it , who gets Sued then?",1
30,1286413096777637890,"If people don`t want to wear a mask, why should they seatbelts? WHY look both ways when crossing a road?, Teach your children it is OK to touch the hot stove. Stare at the sun. What kind of role model are we setting for the kids????????? I`m old and very ashamed of things.",1
31,1286316624191135745,"I’d like to ask a question about the safety of Teachers &amp; children in the classroom. 🍎

If children are not likely to carry and transmit covid, why wear the mask in the classroom? I understand the adults should, but what information are you hearing about that?",1
32,1285601602452299776,I am confused as to why kids under 13 don’t have to wear masks on public transport - a literal toddler was sitting right across from me and picked their nose then just rubbed it on the window??? If anyone should wear a mask it should be children 🤢,1
33,1285579308052779014,New study says 41% of parents say school children should be required to wear a mask while they’re on the bus or in the school. Thoughts? #yql,1
34,1285182080343842817,"I don’t understand the people (mostly APs) that are trying to find any type of way around wearing a mask to go to the parks. Or asking if their children HAVE to wear them. If you’re bringing them in public, you should want them to wear them??? For their safety???",1
35,1284904510251507714,"I just saw an entire family walk into Justice saying things like “I’m not wearing a mask” and “why should we have to wear a mask? that’s stupid.” Most were young girls with a mom who agreed with them.

Stop teaching your children to be stupid.",1
36,1284657072915677184,Is it cynical to think that people should wear a mask in public and children and teachers shouldn’t have to risk their lives to go back to school?,1
37,1284551729493823498,My sister isn’t sure if she should send her kid to pre k this fall. The classes are really small (4 children) but no one will wear a mask. What do y’all think?,1
38,1284258818021642241,"Should kids wear masks?
The Centers for Disease Control and Prevention recommends all children 2 years old and older wear a mask or cloth covering. @GovWhitmer All students in school need to be wearing masks when around others.",1
39,1283997783960117248,"children over the age of two going to a public place should be wearing a mask!!!

make masks a diy project or purchase ones with cool designs to get them on board!

also, if you’re a parent refusing to wear a mask, your child will mirror that behavior! like grow up and wear one?!",1
40,1283743289565478914,"Please help me out Twitter friends! 

1. Do you believe masks are unnecessary?  If so, why?

2. If I wear a mask to protect you, does that offend you?

3. Should children be required to wear masks in school?

4. Are masks here to stay forever?

#retweet #covid19",1
41,1283449237515239425,"More than 7,000 kids have tested positive for #coronavirus in Florida; 12 have MIS-C ~ multi-system inflammatory

Does this sound like ""kids don't get it, kids don't spread it""....does this sound like schools should reopen???

Wear a mask, save your children.

Walmart",1
42,1283224234635022341,Has anyone told the ReOpenNC people that their children have to wear a mask o go back to school? That should solve most of these issues.,1
43,1283028776956329985,"I don't understand how anyone can think we should open the schools.  The most prominent kindergartner in the world can't consistently wear a mask, and he's the president!  How can we expect actual children to do the same?",1
44,1282684417958391808,"We should wear masks everywhere but we're sending children back to school?

6' distancing, but wear a mask?

Nobody has a clue and we're dancing to whoever plays a tune.",1
45,1282664471014420482,What are we teaching children when they wear a mask?  They are learning to sneezing in their masks.  We should teach them to sneeze in a tissue.  Gross.,1
46,1281895001371410434,I'm confused. Should I wear a face covering or should I wear a mask? I suppose if I wear a face covering I won't frighten the children!,1
47,1281431797260341249,"So Cohen, Manafort and Stone can’t serve their term in prison because of Covid19, but children and staff should return to school , where’s First Lady “Be Best” and her protection of children?.#DerangedDonald #StayHome #WearAMask",1
48,1281008871516131329,"Should anyone listen to idiots? Hell no. There is a disease that is attacking us and we are defenseless. You know why, because morons convinced part of the country not to wear a mask? Now they want us to toss our children up in it. Fk no! You do it!",1
