input,output
covid-fake-news: daili updat publish state report 734k test 39k new case 532 death current hospit fell 30k first time sinc june 22,1
covid-fake-news: alfalfa cure covid19,0
covid-fake-news: presid trump ask would catch coronaviru donaldtrump coronaviru,0
covid-fake-news: state report 630 death still see solid nation declin death report lag approxim 28 day symptom onset accord cdc model consid lag symptom time hospit death report process,1
covid-fake-news: sixth time global health emerg declar intern health regul easili sever,1
covid-fake-news: low vitamind independ predictor wors prognosi patient covid19,1
covid-fake-news: common question cumul outcom number smaller current outcom number state report current state report cumul appl orang dont feel comfort fill state cumul box current,1
covid-fake-news: govern consid bring new nation lockdown rule christma rather say oxford univers professor,1
covid-fake-news: daili updat publish weve track 29 million test 119k yesterday that smallest report increas sinc april 1 note track test state report state report test see,1
covid-fake-news: breakdown test 4 air crew 97 hotel amp health staff facil 71 former hotel guest amp 2 exempt individu return neg test 200 current guest novotel swab tuesday amp wednesday result neg,1
covid-fake-news: two interest correl 1 children tend weather covid19 pretti well also get ton vitamin 2 black peopl get slam covid19 black peopl also much higher instanc vitamin defici 76 vs 40 gener popul,0
covid-fake-news: photo show 19yearold vaccin canin coronaviru could use prevent new coronaviru caus covid19,0
covid-fake-news: assist undersecretari public health affair dr buthayna almodaf highlight import risk commun amp public educ fight covid19 countri increas test capac enabl 400000 peopl test,1
covid-fake-news: audio file alleg worker health institut rio de janeiro say healthcar worker public institut rio forc state whether patient covid19 even see doctor allegedli done artifici inflat number case,0
covid-fake-news: say coronaviru aid relief econom secur act give member congress pay increas,0
covid-fake-news: kid reach fk shit stage lockdown,0
covid-fake-news: household requir medic kit certain item equip treat differ stage covid19,0
covid-fake-news: imag man carri old mother back show migrant travel home india amidst lockdown,0
covid-fake-news: socialdistanc covid19 take time check friend famili see set daili phone video call touch base share best challeng part day togetherapart,1
covid-fake-news: 310 8 popul may infect antibodi vast major peopl still vulner diseas say sir patrick vallanc,1
covid-fake-news: korona viru new deadli form viru china suffer may come india immedi avoid form cold drink ice cream koolfe etc type preserv food milkshak rough ice ice cola milk sweet older 48 hour atleast 90 day today,0
covid-fake-news: 2009 tweet donald trump said would never let thousand american die pandem offic,0
covid-fake-news: icu full forc covid patient wait hour hoursto admit emerg room,1
covid-fake-news: presid donald trump tweet coronaviru vaccin israel stock market economi even stronger besid us israel best invent judaism oliv wonder vaccin stop corona dead around world cant make vaccin bomb possibl without peac creat israel,0
covid-fake-news: new york continu highest posit test per capita indic intens test sever outbreak here top 10 new york washington new jersey louisiana dc michigan illinoi vermont colorado rhode island,1
covid-fake-news: govern chief scientif advis warn uk could soon see 49000 new case coronaviru everi day unless action taken ski take look data suggest real number could lower latest,1
covid-fake-news: brazil health minist say case confirm covid19 wont consid death toll,0
covid-fake-news: govt ad corona diseas exist mediclaim insur special case covid2019india,0
covid-fake-news: manag isol distinct hotel hamilton test posit around day 3 stay 13 new confirm case auckland link 4 peopl report case yesterday day,1
covid-fake-news: gate foundat patent coronaviru,0
covid-fake-news: nashvil man think world upsidedown respect world doesnt care think coronaviru,0
covid-fake-news: 14 china muslim hidden bihari mosqu taken corona viru test bihari polic erod polic caught thailand muslim mullah infect corona viru today salem polic caught 11 indonesian muslim mullah salem mosqu video show appli put saliva spoon plate utensil also intent spread corona viru diseas nobodi know what happen nation,0
covid-fake-news: also clear demand constraint test criteria remain quit strict still get report peopl abl unabl get test despit good reason,1
covid-fake-news: coronaviru found gutkha chew tobacco sampl sold indian state maharashtra raw materi sourc china,0
covid-fake-news: clinic senior lectur king colleg london dr clair steve say two symptom covid19 core list headach fatigu discuss symptom warrant test coronaviru latest,1
covid-fake-news: meaningless also epidem pneumonia death consid unstabl number keep mind,1
covid-fake-news: kia ora elanor current 21 activ case new zealand caught border evid commun transmiss,1
covid-fake-news: updat today 3 new case covid19 report manag isol quarantin facil nz continu new case commun total number activ case 21 remain quarantin facil,1
covid-fake-news: new coronaviru settl air ground transmit air,0
covid-fake-news: sign heart attack stroke stay home covid19 call 911 right away emerg respond emerg depart plan place help protect covid19 learn,1
covid-fake-news: access covid19 tool act acceler bring togeth govern health organ scientist busi civil societi amp philanthropist speed end pandem,1
covid-fake-news: say cdc say coronaviru surviv surfac 17 day,0
covid-fake-news: chines govern announc garlic prevent food novel coronaviru,0
covid-fake-news: flood hit area pretend coronaviru bid get govern attent,0
covid-fake-news: spanish flu propaganda cover million soldier die militari vaccin wwi war trauma radiat effect hysteria lot aspirin overdos peopl thought would protect,0
covid-fake-news: busi continu adapt servic wake covid19 swa hand sanitis portal avail sourc handsanitis ethanol produc sanitis complet detail find supplier,0
covid-fake-news: free ce watch new cdcgrandround acut flaccid myeliti afm listen new beyondthedata podcast cdc dr john iskand dr janel routh discuss afm symptom treatment option,1
covid-fake-news: hydroxychloroquin viru cure fast pandem end could start feel better soon 5 hour,0
covid-fake-news: subhan allah corona viru china govt lift ban holi quran allow chines muslim read sacr book favor lord would deni,0
covid-fake-news: daili updat publish state report 671k test 40k case 1202 covid19 death note weve ad 7day averag nationwid overview,1
covid-fake-news: video claim bodi pack bodi bag dump mass grave itali spain,0
covid-fake-news: indian armi built 1000bed hospit rajasthan eight day treatment covid19,0
covid-fake-news: pandem everi 100 year,0
covid-fake-news: florida hospit report coronaviru infest multipl confirm patient,0
covid-fake-news: muslim doctor die treat peopl infect coronaviru delhi,0
covid-fake-news: tuberculosi shape modern covid19 collect experi stay insid month end influenc architectur near futur write,0
covid-fake-news: 1503 ncdc directli contact twitter user mention friend return uk runni nose could reach author test within 12 hour commun us via dm sampl collect commit best,1
covid-fake-news: whatsapp forward gone viral claim vaccin coronaviru discov viral forward also claim treatment coronaviru mention india intermedi zoolog book,0
covid-fake-news: rt covid19 vaccin preciou resourc unless intern plan manag fairli unnec,1
covid-fake-news: daili updat publish state report 647k test 38k case 406 death number case report lowest sinc june 23,1
covid-fake-news: sever social media user claim massiv crowd bangalor kr market occas varamahalaxmi flout social distanc norm claim mislead 2019 video pass recent one covid19 bangalor,0
covid-fake-news: rise death concentr state larg outbreak texa california florida report singl highest day death entir pandem today,1
covid-fake-news: sanit noth coronaviru,0
covid-fake-news: three doc get attent letter bmj urg attent mild yet long term form covid19,1
covid-fake-news: coronaviru danger flu diseas death rate air pollut bad hygien condit italian hospit hospit germ respons mani death case 5 whole popul endang covid19,0
covid-fake-news: news lockdown last long children could put shoe twice,0
covid-fake-news: one hundr day 1st covid19 case record nigeria ncdc nation refer laboratori support 29 laboratori develop capac covid19 test watch report lab includ reflect chair,1
covid-fake-news: quot joe biden say peopl never die die coronaviru,0
covid-fake-news: total number confirm case covid19 1200 number report world health organ one new zealand receiv hospitallevel care covid19,1
covid-fake-news: correct 14 3rd april 2020 report 26 new case covid19 nigeria error discov report follow 25 new case covid19 nigeria 26th case repeat result previous confirm case new case,1
covid-fake-news: 681 new case covid19 lagos345 rivers51 ogun48 gombe47 oyo36 imo31 delta28 kano23 bauchi18 edo12 katsina12 kaduna9 anambra7 jigawa5 kebbi4 ondo4 nasarawa1 total 14554 case covid19nigeria 4494 discharg 387 death takerespons,1
covid-fake-news: approv ayush ministey time particular lobbi buy bournol,0
covid-fake-news: facebook post compar death itali coronaviru pandemi death season flu outburst 2014 2017 post say 2014 season flu outburst 375 000 peopl die itali real problem coronaviru death compar arent seriou,0
covid-fake-news: indiafightscorona urg statesut mandatorili retest symptomat neg case rapid antigen test rtpcr statesut ensur posit case miss curb spread infect detail staysaf,1
covid-fake-news: indiafightscorona covid19 recoveri exceed activ case 21 million 4 time jump averag weekli recoveri first week juli last week august,1
