,tweet_id,input,output
0,1300187087421886464,"Is this true??

The #CDC quietly updated the #Covid number to admit that only 6% of all the 153,504 deaths recorded actually died from #COVID-19 .  

153,504 x .06  = 9,210 deaths.  

Is this #True?!?",0
1,1296588646552932352,"Hydroxychloroquine is why Uganda, with a population of 43M, has only 15 COVID-19 deaths",0
2,1296234752463245313,"Hydroxychloroquine is why Uganda, with a population of 43M, has only (15) COVID-19 deaths. Uganda, a country in east-central Africa, has a population of 42.729 million, which is 13% of the US’ population of 328.239 million in 2019 @GovMurphy has been EXAGGERATING the covid deaths",0
3,1293055689078853632,I am a board certified internist with sub specialist training in hematology and oncology. I am a Yale University graduate. I am asking for you to sign a petition to promote early usage of hydroxychloroquine and zinc with azithromycin to cure COVID-19.,0
4,1291139259529744384,"July 31 at 8:40 AM
Your post didn't follow our Community Standards
Bill Zimmer
July 30 at 12:58 PM ·
Shared with Public

The cure for COVID-19: Hydroxychloroquine, Zinc,
Azithromycin, and a Presidential election
30 days in FB jail for this post!",0
5,1288959325981966337,"Hydroxychloroquine, Zinc, and Azithromycin are the cure for Covid-19.
More cures include:
Vitamin C
Quercitin, &amp; Zinc.
As well as ozonated saline chased with IVC &amp; Glutathione
Thank you Dr. Suzanne Humphries for this information.",0
6,1288695178237272065,"Masks may not help completely but they can slow the spread for COVID-19 and should be worn. According to many physicians, hydroxychloroquine is not the cure, however along with the antibiotic azithromycin and zinc with the correct dosage has helped many people recover.",0
7,1288588802349363200,"WOW: Physicians have gathered in Whashington DC to let the American people know there ARE effective treatment options for COVID-19. One physician from Texas says “we have a cure for COVID-19, it’s hydroxychloroquine, azithromycin and zinc.” #WhiteCoatSummit",0
8,1288346438317948930,"WOW: Physicians have gathered in Washington DC to let the American people know there ARE effective treatment options available for COVID-19.

One physician from Texas says “we have a cure to COVID-19, it’s hydroxychloroquine, azithromycin and zinc.”

#WhiteCoatSummit",0
9,1288306955220484100,"Hydroxychloroquine 200 mg 2 X day for 5 days. 10 pills $10 copay Zinc sulfate 220 mg once a day for 5 days. 5 pills less than $10 Azithromycin 500 mg once a day for 5 days. 5 pills $10 copay 
cure/prophylactic for COVID-19 = $30
Freedom = priceless It's about power and money!",0
10,1288230513459814406,"Hydroxychloroquine, Azithromycin, and Zinc is the cure for Covid-19. Any Doctor withholding this treatment will be complicit and wait till the class action law suits happen. I hope losing your license is worth your hatred for Trump.",0
11,1288069362390315008,"There is a cure for covid-19.the China virus it's called hydroxychloroquine, and zinc in combination with either azithromycin or doxycycline",0
12,1288052419285274627,#Hydroxychloroquine #zinc #Azithromycin are the cure to covid 19. We don’t need a vaccine. Thousands upon thousands  have been treated with this method and they are all okay. THE FDA IS LYING. FAUCI IS LYING. BILL GATES IS LYING.,0
13,1287928617146765312,"WOW: Physicians have gathered in Washington DC to let the American people know there ARE effective treatment options available for COVID-19.

One physician from Texas says “we have a cure to COVID-19, it’s hydroxychloroquine, azithromycin and zinc.”",0
14,1287912887705653248,"One physician from Texas says “we have a cure to COVID-19, it’s hydroxychloroquine, azithromycin and zinc.”",0
15,1287909653326766082,"Interesting! - Of 352 patients with COVID-19, all recovered and none died. They say we have the cure. Hydroxychloroquine before you get it, and Hydroxy and Zinc and Azithromycin to treat it if you get it. Of course, it has to be the correct dosages. 15 yr old study proves it.",0
16,1287878555414585345,"""One physician from Texas says “we have a cure to COVID-19, it’s hydroxychloroquine, azithromycin and zinc.”
#trumpwasright",0
